BehaviorSpace results (NetLogo 6.1.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Traffic Grid Goal.nlogo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06/13/2019 21:54:02:035 +0100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-30;30;-30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[run number];1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10;11;11;11;11;11;11;11;11;12;12;12;12;12;12;12;12;13;13;13;13;13;13;13;13;14;14;14;14;14;14;14;14;15;15;15;15;15;15;15;15;16;16;16;16;16;16;16;16;17;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;19;19;19;19;19;19;19;19;20;20;20;20;20;20;20;20
cluster-0;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;;11;;;;;;;
cluster-1;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;;12;;;;;;;
cluster-2;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;;10;;;;;;;
cluster-3;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;;25;;;;;;;
cluster-4;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;;8;;;;;;;
cluster-5;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;;18;;;;;;;
cluster-6;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;;7;;;;;;;
cluster-7;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;;6;;;;;;;
matching-algorythm;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;;Random;;;;;;;
grid-size-x;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;
grid-size-y;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;;9;;;;;;;
numFriendsMax;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;
num-passengers;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;
power?;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;;true;;;;;;;
current-phase;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;
ticks-per-cycle;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;;21;;;;;;;
