"BehaviorSpace results (NetLogo 6.1.0)"
"Traffic Grid Goal.nlogo"
"Experiment 1"
"06/15/2019 21:56:31:198 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","12","12","12","12","12","12","12","12","13","13","13","13","13","13","13","13","14","14","14","14","14","14","14","14","15","15","15","15","15","15","15","15","16","16","16","16","16","16","16","16","17","17","17","17","17","17","17","17","18","18","18","18","18","18","18","18","19","19","19","19","19","19","19","19","20","20","20","20","20","20","20","20","21","21","21","21","21","21","21","21","22","22","22","22","22","22","22","22","23","23","23","23","23","23","23","23","24","24","24","24","24","24","24","24","25","25","25","25","25","25","25","25","26","26","26","26","26","26","26","26","27","27","27","27","27","27","27","27","28","28","28","28","28","28","28","28","29","29","29","29","29","29","29","29","30","30","30","30","30","30","30","30","31","31","31","31","31","31","31","31","32","32","32","32","32","32","32","32","33","33","33","33","33","33","33","33","34","34","34","34","34","34","34","34","35","35","35","35","35","35","35","35","36","36","36","36","36","36","36","36","37","37","37","37","37","37","37","37","38","38","38","38","38","38","38","38","39","39","39","39","39","39","39","39","40","40","40","40","40","40","40","40"
"cluster-0","18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,
"cluster-1","18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,,"18",,,,,,,
"cluster-2","16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,,"16",,,,,,,
"cluster-3","39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,,"39",,,,,,,
"cluster-4","12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,,"12",,,,,,,
"cluster-5","27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,,"27",,,,,,,
"cluster-6","11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,,"11",,,,,,,
"cluster-7","9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,,"9",,,,,,,
"matching-algorythm","None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,,"None",,,,,,,
